total_baggage,total_cargo,total_mnc,total_mail,departure_airport,combined,timestamp
1305.00,0.00,0.00,0.00,DUB,2024-05_MN_1115.0_1.0,2024-04-30 09:21:32
,,,,DUB,2024-05_MN_1115.0_1.0,2024-04-30 09:21:46
1305.00,0.00,65.00,0.00,DUB,2024-05_MN_1115.0_1.0,2024-04-30 09:21:46
,,,,DUB,2024-05_MN_1492.0_1.0,2024-04-30 09:27:28
3640.00,0.00,0.00,0.00,DUB,2024-05_MN_1492.0_1.0,2024-04-30 09:27:28
,,,,DUB,2024-05_MN_1105.0_1.0,2024-04-30 09:30:50
4275.00,0.00,0.00,0.00,DUB,2024-05_MN_1105.0_1.0,2024-04-30 09:30:50
,,,,DUB,2024-05_MN_1105.0_1.0,2024-04-30 09:32:14
3675.00,0.00,0.00,0.00,DUB,2024-05_MN_1105.0_1.0,2024-04-30 09:32:14
,,,,DUB,2024-05_MN_1105.0_1.0,2024-04-30 09:32:33
3675.00,0.00,75.00,0.00,DUB,2024-05_MN_1105.0_1.0,2024-04-30 09:32:33
,,,,DUB,2024-05_MN_1123.0_1.0,2024-04-30 09:35:15
2730.00,0.00,0.00,0.00,DUB,2024-05_MN_1123.0_1.0,2024-04-30 09:35:15
,,,,DUB,2024-05_MN_1123.0_1.0,2024-04-30 09:40:06
3255.00,0.00,0.00,0.00,DUB,2024-05_MN_1123.0_1.0,2024-04-30 09:40:06
,,,,DUB,2024-05_MN_1061.0_1.0,2024-04-30 09:47:51
2520.00,0.00,150.00,0.00,DUB,2024-05_MN_1061.0_1.0,2024-04-30 09:47:51
,,,,DUB,2024-05_MN_1133.0_1.0,2024-04-30 09:42:57
3105.00,0.00,0.00,0.00,DUB,2024-05_MN_1133.0_1.0,2024-04-30 09:42:57
,,,,DUB,2024-05_MN_1123.0_1.0,2024-04-30 09:45:06
3480.00,0.00,75.00,0.00,DUB,2024-05_MN_1123.0_1.0,2024-04-30 09:45:06
,,,,DUB,2024-05_MN_1123.0_1.0,2024-04-30 09:44:45
3480.00,0.00,0.00,0.00,DUB,2024-05_MN_1123.0_1.0,2024-04-30 09:44:45
,,,,ORD,2024-05_MN_1124.0_1.0,2024-04-30 09:45:39
3120.00,0.00,0.00,0.00,ORD,2024-05_MN_1124.0_1.0,2024-04-30 09:45:39
,,,,DUB,2024-05_MN_1133.0_1.0,2024-04-30 09:46:03
3105.00,0.00,75.00,0.00,DUB,2024-05_MN_1133.0_1.0,2024-04-30 09:46:03
,,,,DUB,2024-05_MN_1061.0_1.0,2024-04-30 09:47:25
2520.00,0.00,0.00,0.00,DUB,2024-05_MN_1061.0_1.0,2024-04-30 09:47:25
,,,,DUB,2024-05_MN_1123.0_1.0,2024-04-30 09:48:36
,,,,ORD,2024-05_MN_1122.0_1.0,2024-04-30 09:48:36
0.00,0.00,0.00,0.00,ORD,2024-05_MN_1122.0_1.0,2024-04-30 09:48:36
3480.00,0.00,75.00,0.00,DUB,2024-05_MN_1123.0_1.0,2024-04-30 09:48:36
,,,,ORD,2024-05_MN_1122.0_1.0,2024-04-30 09:52:36
,,,,DUB,2024-05_MN_1105.0_1.0,2024-04-30 09:52:32
3675.00,0.00,75.00,0.00,DUB,2024-05_MN_1105.0_1.0,2024-04-30 09:52:32
,,,,DUB,2024-05_MN_1061.0_1.0,2024-04-30 09:52:11
2520.00,0.00,150.00,0.00,DUB,2024-05_MN_1061.0_1.0,2024-04-30 09:52:11
,,,,YYZ,2024-05_MN_1126.0_1.0,2024-04-30 09:51:37
0.00,0.00,0.00,0.00,YYZ,2024-05_MN_1126.0_1.0,2024-04-30 09:51:37
,,,,DUB,2024-05_MN_1127.0_1.0,2024-04-30 09:51:39
0.00,0.00,0.00,0.00,DUB,2024-05_MN_1127.0_1.0,2024-04-30 09:51:39
,,,,DUB,2024-05_MN_1123.0_1.0,2024-04-30 09:52:36
3480.00,0.00,75.00,0.00,DUB,2024-05_MN_1123.0_1.0,2024-04-30 09:52:36
0.00,0.00,0.00,0.00,ORD,2024-05_MN_1122.0_1.0,2024-04-30 09:52:36
,,,,DUB,2024-05_MN_1127.0_1.0,2024-04-30 09:58:24
1050.00,0.00,0.00,0.00,DUB,2024-05_MN_1127.0_1.0,2024-04-30 09:58:24
,,,,DUB,2024-05_MN_1127.0_1.0,2024-04-30 10:00:04
3150.00,0.00,0.00,0.00,DUB,2024-05_MN_1127.0_1.0,2024-04-30 10:00:04
,,,,DUB,2024-05_MN_1127.0_1.0,2024-04-30 10:00:46
3150.00,0.00,75.00,0.00,DUB,2024-05_MN_1127.0_1.0,2024-04-30 10:00:46
,,,,DUB,2024-05_MN_1089.0_1.0,2024-04-30 10:07:15
