total_cargo,total_eic,total_mail,departure_airport,combined,timestamp
0.00,0.00,0.00,REC,2024-05_ZY_5878.0_30.0,2024-05-01 00:33:23
,,,VCP,2024-05_ZY_3995.0_30.0,2024-05-01 00:31:36
0.00,0.00,0.00,VCP,2024-05_ZY_3995.0_30.0,2024-05-01 00:31:36
,,,CNF,2024-05_ZY_5073.0_29.0,2024-05-01 00:30:08
0.00,0.00,0.00,CNF,2024-05_ZY_5073.0_29.0,2024-05-01 00:30:08
,,,IPN,2024-05_ZY_3890.0_29.0,2024-05-01 00:30:08
0.00,0.00,0.00,IPN,2024-05_ZY_3890.0_29.0,2024-05-01 00:30:08
,,,REC,2024-05_ZY_56.0_30.0,2024-05-01 00:30:12
0.00,0.00,0.00,REC,2024-05_ZY_56.0_30.0,2024-05-01 00:30:12
,,,CNF,2024-05_ZY_5081.0_29.0,2024-05-01 00:30:08
0.00,0.00,0.00,CNF,2024-05_ZY_5081.0_29.0,2024-05-01 00:30:08
,,,UDI,2024-05_ZY_5922.0_29.0,2024-05-01 00:30:10
0.00,0.00,0.00,UDI,2024-05_ZY_5922.0_29.0,2024-05-01 00:30:10
0.00,0.00,0.00,MOC,2024-05_ZY_5167.0_29.0,2024-05-01 00:30:08
,,,MCZ,2024-05_ZY_5307.0_29.0,2024-05-01 00:30:12
,,,AJU,2024-05_ZY_3737.0_30.0,2024-05-01 00:30:12
0.00,0.00,0.00,CNF,2024-05_ZY_5264.0_29.0,2024-05-01 00:30:09
,,,MCZ,2024-05_ZY_5344.0_29.0,2024-05-01 00:30:11
,,,MCZ,2024-05_ZY_5600.0_30.0,2024-05-01 00:30:11
0.00,0.00,0.00,MCZ,2024-05_ZY_5600.0_30.0,2024-05-01 00:30:11
,,,REC,2024-05_ZY_3671.0_30.0,2024-05-01 00:30:13
,,,REC,2024-05_ZY_5526.0_30.0,2024-05-01 00:30:12
,,,REC,2024-05_ZY_3750.0_29.0,2024-05-01 00:30:11
0.00,0.00,0.00,REC,2024-05_ZY_3750.0_29.0,2024-05-01 00:30:11
,,,ORY,2024-05_ZY_9701.0_30.0,2024-05-01 00:30:11
0.00,0.00,0.00,ORY,2024-05_ZY_9701.0_30.0,2024-05-01 00:30:11
0.00,0.00,0.00,MCZ,2024-05_ZY_5344.0_29.0,2024-05-01 00:30:11
,,,FEN,2024-05_ZY_5091.0_29.0,2024-05-01 00:30:22
,,,FEN,2024-05_ZY_5467.0_29.0,2024-05-01 00:30:14
0.00,0.00,0.00,FEN,2024-05_ZY_5467.0_29.0,2024-05-01 00:30:14
0.00,0.00,0.00,REC,2024-05_ZY_5526.0_30.0,2024-05-01 00:30:12
,,,JPA,2024-05_ZY_3834.0_30.0,2024-05-01 00:30:16
0.00,0.00,0.00,MCZ,2024-05_ZY_5307.0_29.0,2024-05-01 00:30:12
,,,REC,2024-05_ZY_52.0_30.0,2024-05-01 00:30:16
0.00,0.00,0.00,REC,2024-05_ZY_52.0_30.0,2024-05-01 00:30:16
0.00,0.00,0.00,AJU,2024-05_ZY_3737.0_30.0,2024-05-01 00:30:12
,,,REC,2024-05_ZY_3742.0_29.0,2024-05-01 00:30:15
,,,MCZ,2024-05_ZY_5527.0_30.0,2024-05-01 00:30:12
0.00,0.00,0.00,MCZ,2024-05_ZY_5527.0_30.0,2024-05-01 00:30:13
0.00,0.00,0.00,REC,2024-05_ZY_3671.0_30.0,2024-05-01 00:30:13
,,,REC,2024-05_ZY_3992.0_30.0,2024-05-01 00:30:15
,,,AJU,2024-05_ZY_5502.0_29.0,2024-05-01 00:30:16
0.00,0.00,0.00,AJU,2024-05_ZY_5502.0_29.0,2024-05-01 00:30:16
0.00,0.00,0.00,REC,2024-05_ZY_3742.0_29.0,2024-05-01 00:30:15
,,,CWB,2024-05_ZY_5756.0_29.0,2024-05-01 00:30:17
,,,LDB,2024-05_ZY_5757.0_29.0,2024-05-01 00:30:17
0.00,0.00,0.00,REC,2024-05_ZY_3992.0_30.0,2024-05-01 00:30:15
,,,AJU,2024-05_ZY_3767.0_30.0,2024-05-01 00:30:17
,,,AJU,2024-05_ZY_46.0_30.0,2024-05-01 00:30:15
0.00,0.00,0.00,AJU,2024-05_ZY_46.0_30.0,2024-05-01 00:30:15
,,,MGF,2024-05_ZY_3680.0_30.0,2024-05-01 00:30:18
0.00,0.00,0.00,MGF,2024-05_ZY_3680.0_30.0,2024-05-01 00:30:18
,,,FLN,2024-05_ZY_3689.0_29.0,2024-05-01 00:30:18
0.00,0.00,0.00,FLN,2024-05_ZY_3689.0_29.0,2024-05-01 00:30:18
,,,REC,2024-05_ZY_5560.0_30.0,2024-05-01 00:30:16
0.00,0.00,0.00,REC,2024-05_ZY_5560.0_30.0,2024-05-01 00:30:16
0.00,0.00,0.00,JPA,2024-05_ZY_3834.0_30.0,2024-05-01 00:30:16
,,,CWB,2024-05_ZY_5603.0_29.0,2024-05-01 00:30:17
0.00,0.00,0.00,CWB,2024-05_ZY_5603.0_29.0,2024-05-01 00:30:17
