cargo_estimate,mail_estimate,timestamp_estimate,combined,cargo_total,mail_total,departure_airport,timestamp_total
500.0,132.0,2024-05-06 01:03:37,2024-05_AB_2719.0_6.0,27.0,0.0,DEL,2024-05-06 02:48:48
527.0,0.0,2024-05-06 00:59:39,2024-05_AB_2102.0_6.0,0.0,0.0,AMD,2024-05-06 03:39:47
79.0,0.0,2024-05-05 23:38:58,2024-05_AB_2607.0_6.0,0.0,0.0,DEL,2024-05-06 05:08:14
2068.0,0.0,2024-05-05 23:38:11,2024-05_AB_2518.0_6.0,1134.0,0.0,BOM,2024-05-06 03:33:21
579.0,0.0,2024-05-05 23:37:43,2024-05_AB_2638.0_6.0,0.0,0.0,SXR,2024-05-06 02:43:00
1499.0,0.0,2024-05-05 23:37:08,2024-05_AB_2524.0_6.0,422.0,0.0,BOM,2024-05-06 02:52:10
1803.0,0.0,2024-05-05 23:36:53,2024-05_AB_2410.0_6.0,1211.0,0.0,BOM,2024-05-06 01:51:02
1014.0,0.0,2024-05-05 23:36:23,2024-05_AB_2405.0_6.0,629.0,0.0,HYD,2024-05-06 02:14:15
90.0,0.0,2024-05-05 23:35:30,2024-05_AB_2355.0_6.0,0.0,0.0,DEL,2024-05-06 02:13:45
1095.0,0.0,2024-05-05 23:35:05,2024-05_AB_2485.0_6.0,435.0,0.0,MAA,2024-05-06 01:24:54
834.0,0.0,2024-05-05 23:34:28,2024-05_AB_2462.0_6.0,52.0,0.0,BLR,2024-05-06 03:58:21
545.0,0.0,2024-05-05 23:28:19,2024-05_AB_2421.0_6.0,121.0,0.0,BLR,2024-05-06 00:32:32
488.0,0.0,2024-05-05 22:41:27,2024-05_AB_2375.0_6.0,932.0,0.0,BLR,2024-05-06 02:12:52
982.0,0.0,2024-05-05 20:04:13,2024-05_AB_2312.0_6.0,609.0,0.0,PNQ,2024-05-06 01:13:25
2000.0,52.0,2024-05-05 20:03:17,2024-05_AB_2325.0_6.0,1257.0,0.0,BLR,2024-05-06 00:55:06
1000.0,43.0,2024-05-05 20:02:21,2024-05_AB_2109.0_6.0,142.0,0.0,BLR,2024-05-06 00:53:10
2000.0,13.0,2024-05-05 20:01:33,2024-05_AB_2736.0_6.0,287.0,0.0,BLR,2024-05-06 00:26:53
2500.0,38.0,2024-05-05 19:59:03,2024-05_AB_2561.0_6.0,1269.0,0.0,BLR,2024-05-06 00:22:12
200.0,67.0,2024-05-05 19:58:08,2024-05_AB_2624.0_6.0,0.0,0.0,GOX,2024-05-06 00:06:15
987.0,0.0,2024-05-05 19:28:59,2024-05_AB_2145.0_6.0,269.0,0.0,AMD,2024-05-06 00:14:46
800.0,19.0,2024-05-05 19:25:57,2024-05_AB_2637.0_6.0,4.0,0.0,BOM,2024-05-05 23:12:04
1000.0,19.0,2024-05-05 19:25:12,2024-05_AB_2505.0_6.0,340.0,0.0,AMD,2024-05-05 23:32:13
3000.0,73.0,2024-05-05 19:24:28,2024-05_AB_2340.0_6.0,2187.0,0.0,BLR,2024-05-05 23:22:02
2500.0,32.0,2024-05-05 19:21:55,2024-05_AB_2311.0_5.0,1437.0,0.0,BLR,2024-05-05 23:18:22
3000.0,40.0,2024-05-05 19:21:23,2024-05_AB_2359.0_5.0,2079.0,0.0,BLR,2024-05-05 22:36:46
2000.0,96.0,2024-05-05 16:13:29,2024-05_AB_2107.0_5.0,1513.0,0.0,BOM,2024-05-05 19:34:57
1000.0,93.0,2024-05-05 13:59:06,2024-05_AB_2439.0_6.0,877.0,0.0,BOM,2024-05-05 18:51:45
1000.0,46.0,2024-05-05 13:58:16,2024-05_AB_2738.0_5.0,0.0,0.0,BOM,2024-05-05 18:27:55
27.0,0.0,2024-05-05 13:57:54,2024-05_AB_2397.0_5.0,0.0,0.0,GOX,2024-05-05 15:51:10
4000.0,83.0,2024-05-05 13:57:24,2024-05_AB_2350.0_5.0,3445.0,0.0,DEL,2024-05-05 16:49:54
1500.0,22.0,2024-05-05 13:56:39,2024-05_AB_2367.0_5.0,0.0,0.0,BOM,2024-05-05 16:33:13
300.0,72.0,2024-05-05 13:55:32,2024-05_AB_2509.0_5.0,113.0,50.0,PNQ,2024-05-05 16:26:04
1500.0,74.0,2024-05-05 13:53:43,2024-05_AB_2409.0_5.0,1317.0,0.0,DEL,2024-05-05 16:02:18
3200.0,56.0,2024-05-05 13:52:38,2024-05_AB_2125.0_5.0,2816.0,0.0,CCU,2024-05-05 15:22:20
1200.0,74.0,2024-05-05 13:49:49,2024-05_AB_2318.0_5.0,1209.0,0.0,PNQ,2024-05-05 17:29:26
1000.0,24.0,2024-05-05 13:48:20,2024-05_AB_2332.0_5.0,599.0,0.0,AMD,2024-05-05 16:08:51
1000.0,88.0,2024-05-05 13:47:01,2024-05_AB_2366.0_5.0,1117.0,0.0,BLR,2024-05-05 15:41:17
824.0,40.0,2024-05-05 13:33:06,2024-05_AB_2508.0_5.0,824.0,0.0,AMD,2024-05-05 15:08:55
100.0,93.0,2024-05-05 12:45:15,2024-05_AB_2551.0_5.0,0.0,0.0,PNQ,2024-05-05 15:00:24
2200.0,139.0,2024-05-05 12:44:45,2024-05_AB_2146.0_5.0,119.0,0.0,DEL,2024-05-05 16:09:40
1200.0,41.0,2024-05-05 12:44:00,2024-05_AB_2643.0_5.0,699.0,0.0,HYD,2024-05-05 16:02:22
62.0,0.0,2024-05-05 12:39:55,2024-05_AB_2630.0_5.0,0.0,0.0,DEL,2024-05-05 14:19:24
1500.0,53.0,2024-05-05 12:39:19,2024-05_AB_2341.0_5.0,478.0,0.0,BOM,2024-05-05 15:43:29
1000.0,12.0,2024-05-05 12:06:53,2024-05_AB_2437.0_5.0,192.0,50.0,BLR,2024-05-05 14:21:57
