combined,timestamp,blockfuel_main1,blockfuel_trim,takeofffuel_main1,takeofffuel_trim,trip_fuel,max_fuel_cap,minimum_tof,taxi_fuel,takeoff_fuel
2024-05_AB_2550.0_30.0,2024-04-30 11:13:42,,,,,2802.0,21961.0,6084.0,330.0,6084.0
2024-05_AB_2437.0_30.0,2024-04-30 11:16:13,,,,,2898.0,20724.0,6561.0,330.0,6561.0
2024-05_AB_2143.0_30.0,2024-04-30 11:16:16,,,,,1409.0,21961.0,5009.0,231.0,5269.0
2024-05_AB_2143.0_30.0,2024-04-30 11:16:16,,,,,,,,,
2024-05_AB_2491.0_30.0,2024-04-30 11:19:39,,,,,4108.0,21961.0,8460.0,352.0,8548.0
2024-05_AB_2491.0_30.0,2024-04-30 11:19:39,,,,,,,,,
2024-05_AB_2551.0_30.0,2024-04-30 11:20:15,,,,,2796.0,21961.0,6234.0,220.0,6234.0
2024-05_AB_2509.0_30.0,2024-04-30 11:20:46,,,,,2610.0,20724.0,6552.0,253.0,6552.0
2024-05_AB_2525.0_30.0,2024-04-30 11:26:46,,,,,4331.0,21961.0,8317.0,242.0,8358.0
2024-05_AB_2525.0_30.0,2024-04-30 11:26:46,,,,,,,,,
2024-05_AB_2629.0_30.0,2024-04-30 11:27:00,,,,,4819.0,20724.0,13409.0,220.0,13480.0
2024-05_AB_2629.0_30.0,2024-04-30 11:27:00,,,,,,,,,
2024-05_AB_2332.0_30.0,2024-04-30 11:30:47,,,,,4447.0,21961.0,8550.0,264.0,8550.0
2024-05_AB_2541.0_30.0,2024-04-30 11:30:55,,,,,,21961.0,,,9100.0
2024-05_AB_2541.0_30.0,2024-04-30 11:30:55,,,,,,,,,
2024-05_AB_2541.0_30.0,2024-04-30 11:31:30,,,,,,21961.0,,253.0,9100.0
2024-05_AB_2541.0_30.0,2024-04-30 11:31:30,,,,,,,,,
2024-05_AB_2541.0_30.0,2024-04-30 11:31:38,,,,,,21961.0,,253.0,8847.0
2024-05_AB_2541.0_30.0,2024-04-30 11:31:38,,,,,,,,,
2024-05_AB_2525.0_30.0,2024-04-30 11:33:48,,,,,2254.0,21961.0,6138.0,341.0,6138.0
2024-05_AB_2541.0_30.0,2024-04-30 11:33:59,,,,,,21961.0,,308.0,8847.0
2024-05_AB_2541.0_30.0,2024-04-30 11:33:59,,,,,,,,,
2024-05_AB_2541.0_30.0,2024-04-30 11:34:02,,,,,5294.0,21961.0,,308.0,8847.0
2024-05_AB_2541.0_30.0,2024-04-30 11:34:02,,,,,,,,,
2024-05_AB_2541.0_30.0,2024-04-30 11:34:17,,,,,5294.0,21961.0,,308.0,8892.0
2024-05_AB_2541.0_30.0,2024-04-30 11:34:17,,,,,,,,,
2024-05_AB_2135.0_30.0,2024-04-30 11:40:19,,,,,6662.0,21961.0,10182.0,253.0,10182.0
2024-05_AB_2365.0_30.0,2024-04-30 11:40:28,,,,,2847.0,20724.0,6320.0,231.0,6369.0
2024-05_AB_2365.0_30.0,2024-04-30 11:40:28,,,,,,,,,
2024-05_AB_2504.0_30.0,2024-04-30 11:40:48,,,,,7058.0,21961.0,11180.0,253.0,11247.0
2024-05_AB_2504.0_30.0,2024-04-30 11:40:48,,,,,,,,,
2024-05_AB_2541.0_30.0,2024-04-30 11:44:23,,,,,5294.0,21961.0,,308.0,9092.0
2024-05_AB_2541.0_30.0,2024-04-30 11:44:23,,,,,,,,,
2024-05_AB_2358.0_30.0,2024-04-30 11:46:50,,,,,4660.0,21961.0,13952.0,209.0,13952.0
2024-05_AB_2104.0_30.0,2024-04-30 11:52:01,,,,,3517.0,21961.0,7557.0,330.0,7570.0
2024-05_AB_2104.0_30.0,2024-04-30 11:52:01,,,,,,,,,
2024-05_AB_2510.0_30.0,2024-04-30 11:54:20,,,,,2515.0,20724.0,6221.0,220.0,6680.0
2024-05_AB_2510.0_30.0,2024-04-30 11:54:20,,,,,,,,,
2024-05_AB_2349.0_30.0,2024-04-30 11:59:22,,,,,1788.0,21961.0,5499.0,341.0,5499.0
2024-05_AB_2124.0_30.0,2024-04-30 12:03:20,,,,,5206.0,21961.0,9699.0,341.0,9759.0
2024-05_AB_2124.0_30.0,2024-04-30 12:03:20,,,,,,,,,
2024-05_AB_2397.0_30.0,2024-04-30 12:06:23,,,,,2308.0,21961.0,7353.0,209.0,7353.0
